URL,Description
https://github.com/modelcontextprotocol/servers?tab=readme-ov-file#using-mcp-,"This repository is a collection of reference implementations for the Model Context Protocol (MCP), as well as references
to community built servers and additional resources. The servers in this repository showcase the versatility and extensibility of MCP, demonstrating how it can be used to give Large Language Models (LLMs) secure, controlled access to tools and data sources.
Each MCP server is implemented with either the Typescript MCP SDK or Python MCP SDK. Note: Lists in this README are ma..."
https://github.com/21st-dev/magic-mcp," Magic Component Platform (MCP) is a powerful AI-driven tool that helps developers create beautiful, modern UI components instantly through natural language descriptions. It integrates seamlessly with popular IDEs and provides a streamlined workflow for UI development. Tell Agent What You Need"
https://github.com/Adfin-Engineering/mcp-server-adfin,"The first time you open Claude Desktop with these setting it may take
10-20 seconds before the Adfin tools appear in the interface due to
the installation of the required packages and the download of the most
recent Adfin API documentation. Everytime you launch Claude Desktop, the most recent Adfin API tools are made available
to your AI assistant. Request a credit control status"
https://github.com/tinyfish-io/agentql-mcp,"This is a Model Context Protocol (MCP) server that integrates AgentQL's data extraction capabilities. To use AgentQL MCP Server to extract data from web pages, you need to install it via npm, get an API key from our Dev Portal, and configure it in your favorite app that supports MCP. Read more about MCP configuration in Claude here."
https://github.com/Aiven-Open/mcp-aiven,"A Model Context Protocol (MCP) server for Aiven. This provides access to the Aiven for PostgreSQL, Kafka, ClickHouse, Valkey and OpenSearch services running in Aiven and the wider Aiven ecosystem of native connectors. Enabling LLMs to build full stack solutions for all use-cases. list_projects"
https://github.com/apify/actors-mcp-server," Implementation of an MCP server for all Apify Actors.
This server enables interaction with one or more Apify Actors that can be defined in the MCP Server configuration. The server can be used in two ways:"
https://github.com/apimatic/apimatic-validator-mcp,"This repository provides a Model Context Protocol (MCP) Server for validating OpenAPI specifications using APIMatic. The server processes OpenAPI files and returns validation summaries by leveraging APIMatic’s API. Ensure that Node.js v18+ is installed. To use the server, an APIMatic API key is required. Sign up at APIMatic and obtain the API key."
https://github.com/AudienseCo/mcp-audiense-insights," This server, based on the Model Context Protocol (MCP), allows Claude or any other MCP-compatible client to interact with your Audiense Insights account. It extracts marketing insights and audience analysis from Audiense reports, covering demographic, cultural, influencer, and content engagement analysis. Before using this server, ensure you have:"
https://github.com/axiomhq/mcp-server-axiom,A Model Context Protocol server implementation for Axiom that enables AI agents to query your data using Axiom Processing Language (APL). Works with Claude desktop app. Implements two MCP tools: No support for MCP resources or prompts yet.
https://github.com/bankless/onchain-mcp, MCP (Model Context Protocol) server for blockchain data interaction through the Bankless API. The Bankless Onchain MCP Server provides a framework for interacting with on-chain data via the Bankless API. It implements the Model Context Protocol (MCP) to allow AI models to access blockchain state and event data in a structured way.
https://github.com/ahnlabio/bicscan-mcp,"A powerful and efficient Blockchain address risk scoring API MCP Server, leveraging the BICScan API to provide comprehensive risk assessments and asset information for blockchain addresses, domains, and decentralized applications (dApps). 🎉 We're listed on https://github.com/modelcontextprotocol/servers for official integration 🎉 You con either use Python with uv or docker depending on your preference."
https://github.com/box-community/mcp-server-box,"MCP Server Box is a Python project that integrates with the Box API to perform various operations such as file search, text extraction, AI-based querying, and data extraction. It leverages the box-sdk-gen library and provides a set of tools to interact with Box files and folders. The Model Context Protocol (MCP) is a framework designed to standardize the way models interact with various data sources and services. In this project, MCP is used to facilitate seamless integration with the Box API..."
